USER-ID,REVIEW-TITLE,REVIEW-COMMENTS,RATINGS,PAGE-NO,processed_title,processed_comment,stemmed_headline,stemmed_review,lemmatized_headline,lemmatized_review
lokicola,OVERHYPED,"This is a movie that was way overhyped. Everyone kept saying it was so amazing, but when I finally go to watch it, it was not at all what I thought it was going to be. The storyline was not good. It was a basic and corny storyline, in my opinion.I didn't care for how they portrayed Ken. Ryan Gosling is an amazing actor, but he is not a good representation of Ken when it comes to how he looks and how the actual Ken doll looks. The way he acted as Ken was not that good either, but he didn't get much help from the writers for the way they wrote his part. The movie had so much potential, but was definitely a let down. One positive is that it had some funny parts, but it could of been written much better and could of had a much better storyline!!",6,23,overhyped,movie way overhyped everyone kept saying amazing finally go watch thought going storyline good basic corny storyline opinioni didnt care portrayed ken ryan gosling amazing actor good representation ken comes looks actual ken doll looks way acted ken good either didnt get much help writers way wrote part movie much potential definitely let one positive funny parts could written much better could much better storyline,overhyp,movi way overhyp everyon kept say amaz final go watch thought go storylin good basic corni storylin opinioni didnt care portray ken ryan gosl amaz actor good represent ken come look actual ken doll look way act ken good either didnt get much help writer way wrote part movi much potenti definit let one posit funni part could written much better could much better storylin,overhyped,movie way overhyped everyone kept saying amazing finally go watch thought going storyline good basic corny storyline opinioni didnt care portrayed ken ryan gosling amazing actor good representation ken come look actual ken doll look way acted ken good either didnt get much help writer way wrote part movie much potential definitely let one positive funny part could written much better could much better storyline
kayleewillis-85920,A Technicolor Dream,*No Review added by viewer*,9,23,technicolor dream,no review added viewer,technicolor dream,no review ad viewer,technicolor dream,no review added viewer
heatherhilgers,It could have been so much better...,"The film's universe and settings are fantastic. The casting is really good too, with Gosling excelling in the role of Ken.Regrettably, however, the film completely misses the chance to appeal to people who grew up with Barbie. Instead, we're left with a film that almost divides and pits men against women, in an attempt to make it a feminist and political film.Instead of seeing a light, fun film, I saw a rather heavy-handed movie whose storyline is centered around patriarchy.It's a real shame, because the film's potential is pretty amazing. I came away disappointed, but not totally disgusted either.",6,23,could much better,films universe settings fantastic casting really good gosling excelling role kenregrettably however film completely misses chance appeal people grew barbie instead left film almost divides pits men women attempt make feminist political filminstead seeing light fun film saw rather heavyhanded movie whose storyline centered around patriarchyits real shame films potential pretty amazing came away disappointed totally disgusted either,could much better,film univers set fantast cast realli good gosl excel role kenregrett howev film complet miss chanc appeal peopl grew barbi instead left film almost divid pit men women attempt make feminist polit filminstead see light fun film saw rather heavyhand movi whose storylin center around patriarchyit real shame film potenti pretti amaz came away disappoint total disgust either,could much better,film universe setting fantastic casting really good gosling excelling role kenregrettably however film completely miss chance appeal people grew barbie instead left film almost divide pit men woman attempt make feminist political filminstead seeing light fun film saw rather heavyhanded movie whose storyline centered around patriarchyits real shame film potential pretty amazing came away disappointed totally disgusted either
hamsterination,Well this really did come as a surprise.,"It pains me to say it, but I enjoyed this movie so much more then I was expecting to, musical numbers, humour, there truly is something for the whole family yo enjoy.Bright, garish and somewhat kitsch, those were my expectations, and sure it's a veritable cornucopia of glitter and rainbows, but what I wasn't expecting, was for the film to be so engaging, there's actually some real depth that I wasn't expecting. That opening introduction, that came as a major surprise, and pretty much set the tone.Of course there are plenty of double entendres, laughs that adults will enjoy, kids will no doubt chuckle away too.I'm pretty sure this film is going to win awards for its production, it's very well made, creative design and visuals, a lot of thought has gone into this. Greta Gerwig did a great job.Margot Robbie is glorious as Barbie, Ryan Gosling was great I thought. The pair shared some terrific scenes, real chemistry, and plenty of cutting one liners.Great use of music, everything fitted into the film so well.8/10.",8,23,well really come surprise,pains say enjoyed movie much expecting musical numbers humour truly something whole family yo enjoybright garish somewhat kitsch expectations sure veritable cornucopia glitter rainbows wasnt expecting film engaging theres actually real depth wasnt expecting opening introduction came major surprise pretty much set toneof course plenty double entendres laughs adults enjoy kids no doubt chuckle away tooim pretty sure film going win awards production well made creative design visuals lot thought gone greta gerwig great jobmargot robbie glorious barbie ryan gosling great thought pair shared terrific scenes real chemistry plenty cutting one linersgreat use music everything fitted film well,well realli come surpris,pain say enjoy movi much expect music number humour truli someth whole famili yo enjoybright garish somewhat kitsch expect sure verit cornucopia glitter rainbow wasnt expect film engag there actual real depth wasnt expect open introduct came major surpris pretti much set toneof cours plenti doubl entendr laugh adult enjoy kid no doubt chuckl away tooim pretti sure film go win award product well made creativ design visual lot thought gone greta gerwig great jobmargot robbi gloriou barbi ryan gosl great thought pair share terrif scene real chemistri plenti cut one linersgreat use music everyth fit film well,well really come surprise,pain say enjoyed movie much expecting musical number humour truly something whole family yo enjoybright garish somewhat kitsch expectation sure veritable cornucopia glitter rainbow wasnt expecting film engaging there actually real depth wasnt expecting opening introduction came major surprise pretty much set toneof course plenty double entendres laugh adult enjoy kid no doubt chuckle away tooim pretty sure film going win award production well made creative design visuals lot thought gone greta gerwig great jobmargot robbie glorious barbie ryan gosling great thought pair shared terrific scene real chemistry plenty cutting one linersgreat use music everything fitted film well
Sleepin_Dragon,My mom and I saw this yesterday. Here are my thoughts.,*No Review added by viewer*,6,23,mom saw yesterday thoughts,no review added viewer,mom saw yesterday thought,no review ad viewer,mom saw yesterday thought,no review added viewer
G-Joshua-Benjamin,Disappointing: terribly preachy and horrendous script. Great cast.,"Margot Robbie and Ryan Gosling are really great in their roles of Barbie and Kent. Gosling is specially hilarious. I expected a funny, cool, deep and entertaining movie, but I was highly disappointed. The movie is so terribly preachy that ends being an embarrassment. We (the audience) have brains, so, please, preach somewhere else. Furthermore, this is a movie to divide, not to unite. And I'm a woman. The script of the movie is horrendous and the direction is plain bad. There are some great actresses that have too little to say, like Emma Mackey, and that's a pity. Overall: a huge disappointment and a missed opportunity. 3/10 (1 point for Margot Robbie, 1 point for Ryan Gosling, and 1 point for the art direction (super tacky and pinky, as Barbie's world).",3,23,disappointing terribly preachy horrendous script great cast,margot robbie ryan gosling really great roles barbie kent gosling specially hilarious expected funny cool deep entertaining movie highly disappointed movie terribly preachy ends embarrassment audience brains please preach somewhere else furthermore movie divide unite im woman script movie horrendous direction plain bad great actresses little say like emma mackey thats pity overall huge disappointment missed opportunity point margot robbie point ryan gosling point art direction super tacky pinky barbies world,disappoint terribl preachi horrend script great cast,margot robbi ryan gosl realli great role barbi kent gosl special hilari expect funni cool deep entertain movi highli disappoint movi terribl preachi end embarrass audienc brain pleas preach somewher els furthermor movi divid unit im woman script movi horrend direct plain bad great actress littl say like emma mackey that piti overal huge disappoint miss opportun point margot robbi point ryan gosl point art direct super tacki pinki barbi world,disappointing terribly preachy horrendous script great cast,margot robbie ryan gosling really great role barbie kent gosling specially hilarious expected funny cool deep entertaining movie highly disappointed movie terribly preachy end embarrassment audience brain please preach somewhere else furthermore movie divide unite im woman script movie horrendous direction plain bad great actress little say like emma mackey thats pity overall huge disappointment missed opportunity point margot robbie point ryan gosling point art direction super tacky pinky barbies world
antoniatejedabarros,Ken out of ten,"Wow. I did not see this masterpiece coming. And that's not a joke. Somehow, Greta Gerwig took Barbie, and made a movie that tackles some really tough social issues....well? It's crazy. But wow, does it work. The story is very mature, thinker of a plot. Once you're done laughing your butt off, you'll get really emotional. The production design is so on point. The whole movie is pink everything, but it's never polarizing. All the shades melt together in a very pleasing way. And of course the cast! Margot Robbie was born to play Barbie, and she hits a home run, but Ryan Gosling. This dude rocks as Ken. He knocked it all the way around the world and hit himself in the back of the head. He steals every scene he's in, and I would be so on board with a Ken spin-off. America Ferrara and Simu Liu are also great in their respective roles, but the cast overall is just perfect. Overall, Barbie is probably the best movie based off a toy (sorry LEGO Movies) and an overall fantastic time at the movies.",10,23,ken ten,wow see masterpiece coming thats joke somehow greta gerwig took barbie made movie tackles really tough social issueswell crazy wow work story mature thinker plot youre done laughing butt youll get really emotional production design point whole movie pink everything never polarizing shades melt together pleasing way course cast margot robbie born play barbie hits home run ryan gosling dude rocks ken knocked way around world hit back head steals every scene hes would board ken spinoff america ferrara simu liu also great respective roles cast overall perfect overall barbie probably best movie based toy sorry lego movies overall fantastic time movies,ken ten,wow see masterpiec come that joke somehow greta gerwig took barbi made movi tackl realli tough social issueswel crazi wow work stori matur thinker plot your done laugh butt youll get realli emot product design point whole movi pink everyth never polar shade melt togeth pleas way cours cast margot robbi born play barbi hit home run ryan gosl dude rock ken knock way around world hit back head steal everi scene he would board ken spinoff america ferrara simu liu also great respect role cast overal perfect overal barbi probabl best movi base toy sorri lego movi overal fantast time movi,ken ten,wow see masterpiece coming thats joke somehow greta gerwig took barbie made movie tackle really tough social issueswell crazy wow work story mature thinker plot youre done laughing butt youll get really emotional production design point whole movie pink everything never polarizing shade melt together pleasing way course cast margot robbie born play barbie hit home run ryan gosling dude rock ken knocked way around world hit back head steal every scene he would board ken spinoff america ferrara simu liu also great respective role cast overall perfect overall barbie probably best movie based toy sorry lego movie overall fantastic time movie
finnconnelly-63017,"Brilliant observations, but social depth is missing",*No Review added by viewer*,6,23,brilliant observations social depth missing,no review added viewer,brilliant observ social depth miss,no review ad viewer,brilliant observation social depth missing,no review added viewer
portraitofaladyonfire,Did I watch the same movie as everyone else lol,"While the production value, cinematography and acting were what you would expect from Margo Robbie and the supporting cast. I felt the movie fell short of not preaching to me and spreading a message of division rather than unity. Men and women cannot survive without each other but you'd never know it watching this movie. And me having my 13 year old daughter with me almost caused me to walk out of the theater. I kept on waiting for the writers to hit the direction of unity but it never came. After the movie my daughter brought up the message to me saying how she even noticed the weird agenda they're trying to push and said that is not a movie for the easily impressionable. Come to find out my daughter is better suited to take on the world that I thought she was. Proud day for me as a father.",3,23,watch movie everyone else lol,production value cinematography acting would expect margo robbie supporting cast felt movie fell short preaching spreading message division rather unity men women cannot survive without youd never know watching movie year old daughter almost caused walk theater kept waiting writers hit direction unity never came movie daughter brought message saying even noticed weird agenda theyre trying push said movie easily impressionable come find daughter better suited take world thought proud day father,watch movi everyon els lol,product valu cinematographi act would expect margo robbi support cast felt movi fell short preach spread messag divis rather uniti men women cannot surviv without youd never know watch movi year old daughter almost caus walk theater kept wait writer hit direct uniti never came movi daughter brought messag say even notic weird agenda theyr tri push said movi easili impression come find daughter better suit take world thought proud day father,watch movie everyone else lol,production value cinematography acting would expect margo robbie supporting cast felt movie fell short preaching spreading message division rather unity men woman cannot survive without youd never know watching movie year old daughter almost caused walk theater kept waiting writer hit direction unity never came movie daughter brought message saying even noticed weird agenda theyre trying push said movie easily impressionable come find daughter better suited take world thought proud day father
jacobarch,3 reasons FOR seeing it and 1 reason AGAINST.,*No Review added by viewer*,7,23,reasons seeing reason,no review added viewer,reason see reason,no review ad viewer,reason seeing reason,no review added viewer
imseeg,Too overrated,*No Review added by viewer*,6,23,overrated,no review added viewer,overr,no review ad viewer,overrated,no review added viewer
spika13,not for everyone,"This is very much a movie that will get devided opinions on it, my cousin said well this is two hours of my life i will never get back, and me? I left the theatre in such a good mood. It was the sense of humor for me, laughed so hard. Specially Ryan Gossling was sooooo good and funny, many familiar faces to spot also. And margot robbie come on... the perfect casting for Barbie. I also have to say, the way they created Barbie land was so amazing, it just makes you just want to there. I don't really have anything bad to say about this movie. I can understand not everyone will love it. But i am sure it is a iconic film already.",8,23,everyone,much movie get devided opinions cousin said well two hours life never get back left theatre good mood sense humor laughed hard specially ryan gossling sooooo good funny many familiar faces spot also margot robbie come perfect casting barbie also say way created barbie land amazing makes want dont really anything bad say movie understand everyone love sure iconic film already,everyon,much movi get devid opinion cousin said well two hour life never get back left theatr good mood sens humor laugh hard special ryan gossl sooooo good funni mani familiar face spot also margot robbi come perfect cast barbi also say way creat barbi land amaz make want dont realli anyth bad say movi understand everyon love sure icon film alreadi,everyone,much movie get devided opinion cousin said well two hour life never get back left theatre good mood sense humor laughed hard specially ryan gossling sooooo good funny many familiar face spot also margot robbie come perfect casting barbie also say way created barbie land amazing make want dont really anything bad say movie understand everyone love sure iconic film already
sophiaaven,Fun film whose script falls in on itself,"Margot Robbie's performance is perfect, and no other actor could've embodied the character as well as she does. However, Ryan Gosling is the film-stealer. I often forget his comedic talent, and he's given a lot of room to flex it in this. A cleverly executed Matchbox Twenty joke is particularly memorable.While cynics and perhaps realists will argue that the film is primarily a marketing vehicle to sell Barbie dolls, it does attempt to carry a moral message. However, the commercial aspect of the movie undercuts the credibility of this message somewhat.The movie starts off well, being smartly self-aware and offering a tongue-in-cheek critique of itself with many winks to the audience. However, as it progresses, the commentary on feminism and the patriarchy becomes heavy-handed, especially in the dialogue-heavy third act, which weighs down the overall narrative.The set and wardrobe designs are a standout. I think kids will love this part alone, even if some of the humor and social commentary will go over their heads.Overall, it's a fun film but not without its flaws. It's likely to spark discussion due to its blunt societal commentary. If you're looking for a visually impressive movie to entertain the kids, and you're willing to enjoy it without analyzing its message too deeply, then it's an enjoyable watch.",6,23,fun film whose script falls,margot robbies performance perfect no actor couldve embodied character well however ryan gosling filmstealer often forget comedic talent hes given lot room flex cleverly executed matchbox twenty joke particularly memorablewhile cynics perhaps realists argue film primarily marketing vehicle sell barbie dolls attempt carry moral message however commercial aspect movie undercuts credibility message somewhatthe movie starts well smartly selfaware offering tongueincheek critique many winks audience however progresses commentary feminism patriarchy becomes heavyhanded especially dialogueheavy third act weighs overall narrativethe set wardrobe designs standout think kids love part alone even humor social commentary go headsoverall fun film without flaws likely spark discussion due blunt societal commentary youre looking visually impressive movie entertain kids youre willing enjoy without analyzing message deeply enjoyable watch,fun film whose script fall,margot robbi perform perfect no actor couldv embodi charact well howev ryan gosl filmsteal often forget comed talent he given lot room flex cleverli execut matchbox twenti joke particularli memorablewhil cynic perhap realist argu film primarili market vehicl sell barbi doll attempt carri moral messag howev commerci aspect movi undercut credibl messag somewhatth movi start well smartli selfawar offer tongueincheek critiqu mani wink audienc howev progress commentari femin patriarchi becom heavyhand especi dialogueheavi third act weigh overal narrativeth set wardrob design standout think kid love part alon even humor social commentari go headsoveral fun film without flaw like spark discuss due blunt societ commentari your look visual impress movi entertain kid your will enjoy without analyz messag deepli enjoy watch,fun film whose script fall,margot robbies performance perfect no actor couldve embodied character well however ryan gosling filmstealer often forget comedic talent he given lot room flex cleverly executed matchbox twenty joke particularly memorablewhile cynic perhaps realist argue film primarily marketing vehicle sell barbie doll attempt carry moral message however commercial aspect movie undercut credibility message somewhatthe movie start well smartly selfaware offering tongueincheek critique many wink audience however progress commentary feminism patriarchy becomes heavyhanded especially dialogueheavy third act weighs overall narrativethe set wardrobe design standout think kid love part alone even humor social commentary go headsoverall fun film without flaw likely spark discussion due blunt societal commentary youre looking visually impressive movie entertain kid youre willing enjoy without analyzing message deeply enjoyable watch
Natcat87,Too heavy handed,*No Review added by viewer*,6,24,heavy handed,no review added viewer,heavi hand,no review ad viewer,heavy handed,no review added viewer
LoveofLegacy,"Beautiful film, but so preachy","Margot does the best with what she's given, but this film was very disappointing to me. It was marketed as a fun, quirky satire with homages to other movies. It started that way, but ended with over-dramatized speeches and an ending that clearly tried to make the audience feel something, but left everyone just feeling confused. And before you say I'm a crotchety old man, I'm a woman in my 20s, so I'm pretty sure I'm this movie's target audience. The saddest part is there were parents with their kids in the theater that were victims of the poor marketing, because this is not a kid's movie. Overall, the humor was fun on occasion and the film is beautiful to look at, but the whole concept falls apart in the second half of the film and becomes a pity party for the ""strong"" woman.",6,24,beautiful film preachy,margot best shes given film disappointing marketed fun quirky satire homages movies started way ended overdramatized speeches ending clearly tried make audience feel something left everyone feeling confused say im crotchety old man im woman im pretty sure im movies target audience saddest part parents kids theater victims poor marketing kids movie overall humor fun occasion film beautiful look whole concept falls apart second half film becomes pity party strong woman,beauti film preachi,margot best she given film disappoint market fun quirki satir homag movi start way end overdramat speech end clearli tri make audienc feel someth left everyon feel confus say im crotcheti old man im woman im pretti sure im movi target audienc saddest part parent kid theater victim poor market kid movi overal humor fun occas film beauti look whole concept fall apart second half film becom piti parti strong woman,beautiful film preachy,margot best shes given film disappointing marketed fun quirky satire homage movie started way ended overdramatized speech ending clearly tried make audience feel something left everyone feeling confused say im crotchety old man im woman im pretty sure im movie target audience saddest part parent kid theater victim poor marketing kid movie overall humor fun occasion film beautiful look whole concept fall apart second half film becomes pity party strong woman
fscsgxp,"Amazing Cast & Set, but the political message was too strong",*No Review added by viewer*,6,24,amazing cast set political message strong,no review added viewer,amaz cast set polit messag strong,no review ad viewer,amazing cast set political message strong,no review added viewer
aherdofbeautifulwildponies,A Hot Pink Mess,*No Review added by viewer*,6,24,hot pink mess,no review added viewer,hot pink mess,no review ad viewer,hot pink mess,no review added viewer
L3MM3,People are missing the point,"Seeing a lot of reviews saying that this movie is preachy, the men are portrayed as idiots, etc. It's a SATIRE. It is meant to be over the top. And yes, it has a lot to say. But the fact that some people in the audience (and I'd wager some of the negative reviews are from people who didn't bother to watch the movie) don't want to hear it, doesn't make it any less valid.In Barbieland, Ken is just an accessory to Barbie and is portrayed as nothing more than an object - something women in the real world deal with all the time. The fact that so many men are reacting so negatively to this movie tells me they don't like being treated the way that women are treated every day. And that is the point of the movie - yet it has much more to say than that. Ultimately, the message in Barbie isn't that ""women rule and men drool"" - it's that patriarchy ultimately harms both men and women. And that's true. So people who say this movie is anti-men are missing the entire point. Patriarchy may give men privilege but it ultimately hurts them, too - pressuring them to conform to a rigid idea of manhood and silencing their self-expression.I am living for the fact that this movie is unapologetic about showing the absurdity of it all. I would have given it a 10 if it weren't for the cringe worthy Ken dance number. It was the only weak part of the movie. But otherwise, Bravo!",9,24,people missing point,seeing lot reviews saying movie preachy men portrayed idiots etc satire meant top yes lot say fact people audience id wager negative reviews people didnt bother watch movie dont want hear doesnt make less validin barbieland ken accessory barbie portrayed nothing object something women real world deal time fact many men reacting negatively movie tells dont like treated way women treated every day point movie yet much say ultimately message barbie isnt women rule men drool patriarchy ultimately harms men women thats true people say movie antimen missing entire point patriarchy may give men privilege ultimately hurts pressuring conform rigid idea manhood silencing selfexpressioni living fact movie unapologetic showing absurdity would given werent cringe worthy ken dance number weak part movie otherwise bravo,peopl miss point,see lot review say movi preachi men portray idiot etc satir meant top ye lot say fact peopl audienc id wager neg review peopl didnt bother watch movi dont want hear doesnt make less validin barbieland ken accessori barbi portray noth object someth women real world deal time fact mani men react neg movi tell dont like treat way women treat everi day point movi yet much say ultim messag barbi isnt women rule men drool patriarchi ultim harm men women that true peopl say movi antimen miss entir point patriarchi may give men privileg ultim hurt pressur conform rigid idea manhood silenc selfexpressioni live fact movi unapologet show absurd would given werent cring worthi ken danc number weak part movi otherwis bravo,people missing point,seeing lot review saying movie preachy men portrayed idiot etc satire meant top yes lot say fact people audience id wager negative review people didnt bother watch movie dont want hear doesnt make less validin barbieland ken accessory barbie portrayed nothing object something woman real world deal time fact many men reacting negatively movie tell dont like treated way woman treated every day point movie yet much say ultimately message barbie isnt woman rule men drool patriarchy ultimately harm men woman thats true people say movie antimen missing entire point patriarchy may give men privilege ultimately hurt pressuring conform rigid idea manhood silencing selfexpressioni living fact movie unapologetic showing absurdity would given werent cringe worthy ken dance number weak part movie otherwise bravo
surfacing7,It was depressing,*No Review added by viewer*,8,24,depressing,no review added viewer,depress,no review ad viewer,depressing,no review added viewer
coxaneesa,Could Have Been Great. 2nd Half Brings It Down.,"The quality, the humor, and the writing of the movie is fun for a while. It's quirky and it's unique. When they get into the weeds and try to explore deeper themes, the movie is a miss. The middle expositional phase of the movie, I must say, is a bore.The movie was so close to being great, but it was incapable of delivering a message without having a character literally give a speech worth of dialogue.What could have been a great satire and what began as a cleverly funny movie turned into a preachy and moralizing movie in the end. But I guess the charm of the first half of the movie made up for the shortcomings.",6,24,could great nd half brings,quality humor writing movie fun quirky unique get weeds try explore deeper themes movie miss middle expositional phase movie must say borethe movie close great incapable delivering message without character literally give speech worth dialoguewhat could great satire began cleverly funny movie turned preachy moralizing movie end guess charm first half movie made shortcomings,could great nd half bring,qualiti humor write movi fun quirki uniqu get weed tri explor deeper theme movi miss middl exposit phase movi must say boreth movi close great incap deliv messag without charact liter give speech worth dialoguewhat could great satir began cleverli funni movi turn preachi moral movi end guess charm first half movi made shortcom,could great nd half brings,quality humor writing movie fun quirky unique get weed try explore deeper theme movie miss middle expositional phase movie must say borethe movie close great incapable delivering message without character literally give speech worth dialoguewhat could great satire began cleverly funny movie turned preachy moralizing movie end guess charm first half movie made shortcoming
Revuer223,The marketing was more entertaining than the actual movie,*No Review added by viewer*,4,24,marketing entertaining actual movie,no review added viewer,market entertain actual movi,no review ad viewer,marketing entertaining actual movie,no review added viewer
MissSimonetta,Somewhat of a Jumbled Mess,*No Review added by viewer*,5,24,somewhat jumbled mess,no review added viewer,somewhat jumbl mess,no review ad viewer,somewhat jumbled mess,no review added viewer
herrcarter-92161,Strong Start... and That's It,"I walked out of the theatre thinking, ""Yeah, I had a good time in that movie"". But as the day went on I kind had that ""Ok, that kebab probably wasn't a good idea.""The film is stunning in its production design and creativity, and Margot Robbie is perfectly cast as the Stereotypical Barbie. For the most part, the songs are catchy and performances are solid for the type of characters being portraying.When we strip away the outside world and all the messaging, Barbie and Ken have a few poignant moments - Barbie realising she's not as perfect as she's been made to believe, or when Ken receives his first modicum of acknowledgement of being a sentient being he's ever had in his life. They also share a couple learning and growth moments which I thought would pay off at the end of the film.I don't know why, but I was hoping for something that would actually enlighten its audience, to acknowledge that things are a mess and make intentional and meaningful steps to get us closer to understanding and equality. The Barbie brand, history, controversies are so engrained in our culture that this movie had a potential to change our perspective of the world, and what the future could be. That's a lot of pressure for one film, I know.However... this film is absolutely not immune to the not-so-subtle messaging that has permeated all forms of media and entertainment recently. In fact, it embraces is. So much so that you have a scene where a man walks up behind Barbie and slaps her on the backside, in broad daylight, in a crowded space, in front of her boyfriend.... And this kind of portrayal of men in 2023 appears to be how the film views the world.Maybe it was this kind of overt comical depiction of men and the world generally that allowed me to get through the movie and kind of enjoy it, but upon reflection, I realise now it's just kind of... yuck.Barbie had the rare opportunity to be a film experience that not only highlighted issues in the real world, but offer and foster some ideas for change. Instead, we receive divisive and mean-spirited attack on half the human population as well as anyone who thinking having a family is an acceptable path in life. And also flat feet and cellulite.If you kind of switch off your brain for an hour and a bit, and don't take this film too seriously, then maybe you'll have a lasting positive memory after seeing this movie.But if you need to do that to enjoy something, then you need to ask yourself: why?",6,24,strong start thats,walked theatre thinking yeah good time movie day went kind ok kebab probably wasnt good ideathe film stunning production design creativity margot robbie perfectly cast stereotypical barbie part songs catchy performances solid type characters portrayingwhen strip away outside world messaging barbie ken poignant moments barbie realising shes perfect shes made believe ken receives first modicum acknowledgement sentient hes ever life also share couple learning growth moments thought would pay end filmi dont know hoping something would actually enlighten audience acknowledge things mess make intentional meaningful steps get us closer understanding equality barbie brand history controversies engrained culture movie potential change perspective world future could thats lot pressure one film knowhowever film absolutely immune notsosubtle messaging permeated forms media entertainment recently fact embraces much scene man walks behind barbie slaps backside broad daylight crowded space front boyfriend kind portrayal men appears film views worldmaybe kind overt comical depiction men world generally allowed get movie kind enjoy upon reflection realise kind yuckbarbie rare opportunity film experience highlighted issues real world offer foster ideas change instead receive divisive meanspirited attack half human population well anyone thinking family acceptable path life also flat feet celluliteif kind switch brain hour bit dont take film seriously maybe youll lasting positive memory seeing moviebut need enjoy something need ask,strong start that,walk theatr think yeah good time movi day went kind ok kebab probabl wasnt good ideath film stun product design creativ margot robbi perfectli cast stereotyp barbi part song catchi perform solid type charact portrayingwhen strip away outsid world messag barbi ken poignant moment barbi realis she perfect she made believ ken receiv first modicum acknowledg sentient he ever life also share coupl learn growth moment thought would pay end filmi dont know hope someth would actual enlighten audienc acknowledg thing mess make intent meaning step get us closer understand equal barbi brand histori controversi engrain cultur movi potenti chang perspect world futur could that lot pressur one film knowhowev film absolut immun notsosubtl messag permeat form media entertain recent fact embrac much scene man walk behind barbi slap backsid broad daylight crowd space front boyfriend kind portray men appear film view worldmayb kind overt comic depict men world gener allow get movi kind enjoy upon reflect realis kind yuckbarbi rare opportun film experi highlight issu real world offer foster idea chang instead receiv divis meanspirit attack half human popul well anyon think famili accept path life also flat feet celluliteif kind switch brain hour bit dont take film serious mayb youll last posit memori see moviebut need enjoy someth need ask,strong start thats,walked theatre thinking yeah good time movie day went kind ok kebab probably wasnt good ideathe film stunning production design creativity margot robbie perfectly cast stereotypical barbie part song catchy performance solid type character portrayingwhen strip away outside world messaging barbie ken poignant moment barbie realising shes perfect shes made believe ken receives first modicum acknowledgement sentient he ever life also share couple learning growth moment thought would pay end filmi dont know hoping something would actually enlighten audience acknowledge thing mess make intentional meaningful step get u closer understanding equality barbie brand history controversy engrained culture movie potential change perspective world future could thats lot pressure one film knowhowever film absolutely immune notsosubtle messaging permeated form medium entertainment recently fact embrace much scene man walk behind barbie slap backside broad daylight crowded space front boyfriend kind portrayal men appears film view worldmaybe kind overt comical depiction men world generally allowed get movie kind enjoy upon reflection realise kind yuckbarbie rare opportunity film experience highlighted issue real world offer foster idea change instead receive divisive meanspirited attack half human population well anyone thinking family acceptable path life also flat foot celluliteif kind switch brain hour bit dont take film seriously maybe youll lasting positive memory seeing moviebut need enjoy something need ask
lokicola,OVERHYPED,"This is a movie that was way overhyped. Everyone kept saying it was so amazing, but when I finally go to watch it, it was not at all what I thought it was going to be. The storyline was not good. It was a basic and corny storyline, in my opinion.I didn't care for how they portrayed Ken. Ryan Gosling is an amazing actor, but he is not a good representation of Ken when it comes to how he looks and how the actual Ken doll looks. The way he acted as Ken was not that good either, but he didn't get much help from the writers for the way they wrote his part. The movie had so much potential, but was definitely a let down. One positive is that it had some funny parts, but it could of been written much better and could of had a much better storyline!!",6,24,overhyped,movie way overhyped everyone kept saying amazing finally go watch thought going storyline good basic corny storyline opinioni didnt care portrayed ken ryan gosling amazing actor good representation ken comes looks actual ken doll looks way acted ken good either didnt get much help writers way wrote part movie much potential definitely let one positive funny parts could written much better could much better storyline,overhyp,movi way overhyp everyon kept say amaz final go watch thought go storylin good basic corni storylin opinioni didnt care portray ken ryan gosl amaz actor good represent ken come look actual ken doll look way act ken good either didnt get much help writer way wrote part movi much potenti definit let one posit funni part could written much better could much better storylin,overhyped,movie way overhyped everyone kept saying amazing finally go watch thought going storyline good basic corny storyline opinioni didnt care portrayed ken ryan gosling amazing actor good representation ken come look actual ken doll look way acted ken good either didnt get much help writer way wrote part movie much potential definitely let one positive funny part could written much better could much better storyline
kayleewillis-85920,A Technicolor Dream,*No Review added by viewer*,9,24,technicolor dream,no review added viewer,technicolor dream,no review ad viewer,technicolor dream,no review added viewer
heatherhilgers,It could have been so much better...,"The film's universe and settings are fantastic. The casting is really good too, with Gosling excelling in the role of Ken.Regrettably, however, the film completely misses the chance to appeal to people who grew up with Barbie. Instead, we're left with a film that almost divides and pits men against women, in an attempt to make it a feminist and political film.Instead of seeing a light, fun film, I saw a rather heavy-handed movie whose storyline is centered around patriarchy.It's a real shame, because the film's potential is pretty amazing. I came away disappointed, but not totally disgusted either.",6,24,could much better,films universe settings fantastic casting really good gosling excelling role kenregrettably however film completely misses chance appeal people grew barbie instead left film almost divides pits men women attempt make feminist political filminstead seeing light fun film saw rather heavyhanded movie whose storyline centered around patriarchyits real shame films potential pretty amazing came away disappointed totally disgusted either,could much better,film univers set fantast cast realli good gosl excel role kenregrett howev film complet miss chanc appeal peopl grew barbi instead left film almost divid pit men women attempt make feminist polit filminstead see light fun film saw rather heavyhand movi whose storylin center around patriarchyit real shame film potenti pretti amaz came away disappoint total disgust either,could much better,film universe setting fantastic casting really good gosling excelling role kenregrettably however film completely miss chance appeal people grew barbie instead left film almost divide pit men woman attempt make feminist political filminstead seeing light fun film saw rather heavyhanded movie whose storyline centered around patriarchyits real shame film potential pretty amazing came away disappointed totally disgusted either
